454	1801715
455	2026770
456	2026887
457	1797484
458	86027
459	86027
460	519
461	1797486
462	1797477
463	1797182
464	1978231
465	1797490
466	1797493
467	1948461
468	1891241
469	1891241
470	1801658
471	2072417
472	2072417
473	2072417
474	2072417
475	1801860
476	1797175
477	1978231
478	1798567
479	1797364
480	1898104
481	1898104
482	1898104
483	1898104
484	2044936
485	2044936
486	1898104
487	2044936
488	1872630
489	1898104
490	1898104
491	1898104
492	1898104
493	1898104
494	152509
495	152509
496	152509
497	152509
498	152509
499	152509
500	152509
501	152509
502	79329
503	79329
504	1798274
505	1802376
506	1869227
507	1797759
508	1797362
509	1798568
510	1798276
511	1798277
512	1802029
513	1802165
514	1801947
515	2026780
516	1801639
517	1802457
518	1797859
519	1802138
520	1801726
521	1798672
522	2026717
523	1797710
524	1798283
525	1798285
526	1797696
527	1797693
528	1798678
529	2026717
530	2026717
531	1798287
532	1797518
533	1797987
534	1974569
535	1798288
536	1801687
537	1798542
538	1797603
539	1797468
540	1801834
541	1801976
542	2026780
543	1797756
544	2026735
545	77133
546	1797186
547	1801921
548	1801917
549	2017151
550	2053688
551	2053688
552	1802391
553	1797884
554	2026735
555	2026735
556	2026735
557	1797894
558	1802393
559	2052139
560	2053634
561	2045217
562	2053634
563	1817869
564	1797499
565	1891241
566	1891241
567	1891241
568	1891238
569	1891238
570	1891238
571	1891241
572	1891238
573	1891238
574	1977087
575	1977087
576	1977087
577	1977087
578	1891238
579	1797181
580	1797184
581	1802023
582	2026786
583	2026786
584	1797481
585	1802342
586	2528274
587	2528274
588	1974385
589	2026714
590	1974742
591	1973945
592	2026734
593	2026734
594	1974593
595	2750072
596	2715251
597	1970565
598	1618848
599	2026720
600	1802132
601	2026724
602	2026720
603	1978119
604	1803424
605	1978231
606	1978231
607	1978231
608	1978231
609	1805202
610	2026742
611	2026742
612	2026742
613	2026742
614	2026742
615	2026742
616	2026742
617	1805172
618	2026742
619	1805370
620	1805342
621	2053607
622	2053607
623	1805196
624	1805174
625	2026742
626	2026742
627	2026742
628	1974458
629	2026803
630	2014372
631	1973935
632	1974526
633	1975526
634	1974869
635	2026720
636	1973901
637	1974793
638	1974049
639	1974749
640	1974529
641	1911686
642	1975525
643	1974025
644	1974635
645	1975041
646	1970504
647	1970513
648	927
649	1891311
650	927
651	1895810
652	1978229
653	1882748
654	1909294
655	208549
656	208549
657	208549
658	208549
659	208549
660	208549
661	208549
662	208549
663	208549
664	208549
665	208549
666	208549
667	208549
668	208549
669	1335060
670	1335060
671	1805084
672	2026724
673	2026724
674	2026724
675	2026724
676	2026724
677	2026724
678	2026724
679	2026724
680	2026724
681	2026724
682	2026724
683	1803431
684	1803481
685	2900548
686	2900548
687	2900548
688	2900548
689	2900548
690	1526414
691	2052148
692	1948315
693	1872096
694	1895704
695	1337936
696	1047052
697	1047051
698	1797291
699	1972458
700	1977312
701	2053509
702	2053509
703	2019525
704	2053509
705	2053509
706	1869227
707	1869227
708	1869227
709	1970335
710	1930536
711	2755338
712	1641393
713	1898207
714	244328
715	1970510
716	1977087
717	2026761
718	1895705
719	1895763
720	2026728
721	250
722	250
723	250
724	1805017
725	1805092
726	1805095
727	1805013
728	1915989
729	2026714
730	2026714
731	2026714
732	2026714
733	2026714
734	2026714
735	2026714
736	2026714
737	2026714
738	2026714
739	2026714
740	2026714
741	2026714
742	1869227
743	2026742
744	1803470
745	1978231
746	2026887
747	2026887
748	2026724
749	2026724
750	2026724
751	2026724
752	2026724
753	2026724
754	2026724
755	2026724
756	2026724
757	2026724
758	2026724
759	2026724
760	2026724
761	2026724
762	2026724
763	2026724
764	2052315
765	2026735
766	2026735
767	2026735
768	2026735
769	2026735
770	2026735
771	2026735
772	2026763
773	1805364
774	1805366
775	2053607
776	1856285
777	1856284
778	1913989
779	2030828
780	1635275
781	2044939
782	1978339
783	1913989
784	1913989
785	1913989
786	2049432
787	1913989
788	2049432
789	2049432
790	1913989
791	2049432
792	2049432
793	1635281
794	2268202
795	1856297
796	1856293
797	1889775
798	86473
799	86473
800	370804
801	1895707
802	1936077
803	1956171
804	1956161
805	1956173
806	1956175
807	1956168
808	2049433
809	2044940
810	1968527
811	1968528
812	2035772
813	2172550
814	1968531
815	1968524
816	1970770
817	1970779
818	1970784
819	1970771
820	1970772
821	2212469
822	1970780
823	1869227
824	1970781
825	1960589
826	2014074
827	1971635
828	1879010
829	2231116
830	1903720
831	2231116
832	1971630
833	1898104
834	2030927
835	1168034
836	1168034
837	2030927
838	1971629
839	1971633
840	1971638
841	2026780
842	2026778
843	2026778
844	2026780
845	2026779
846	2053591
847	1971625
848	2049433
849	2049433
850	1971726
851	1972460
852	1869181
853	1869212
854	546
855	1869212
856	1869212
857	1869212
858	2908004
859	1898104
860	1869212
861	1635279
862	1953247
863	2026760
864	1947949
865	1948077
866	41211
867	41211
868	1951435
869	1951437
870	2024896
871	2024896
872	2024896
873	2024896
874	2293567
875	1635288
876	1856294
877	1856295
878	1856296
879	2026722
880	1913989
881	1913989
882	86473
883	114712
884	1913988
885	114712
886	91750
887	91750
888	91750
889	91750
890	91750
891	91750
892	1895928
893	2026724
894	1895717
895	2682144
896	2682144
897	2033014
898	2053624
899	2268201
900	2699834
901	2053624
902	1895811
903	1909294
904	1909294
905	1909294
906	2021379
907	1977087
908	2021379
909	2021379
910	2026724
911	1895812
912	1909294
913	2026724
914	1635286
915	2306012
916	1895815
917	1913961
918	1895816
919	2895980
920	2053492
921	1660135
922	2052182
923	2052182
924	1977087
925	1977087
926	1926873
927	1913989
928	2006849
929	1913989
930	1977087
931	1883446
932	1895832
933	2026888
934	2026888
935	1909295
936	1909295
937	1909295
938	1909295
939	1909295
940	1909295
941	1909295
942	1909295
943	1909295
944	1909295
945	1883427
946	1883427
947	1909295
948	768556
949	768556
950	768556
951	1895825
952	2026786
953	2053489
954	2053489
955	1895826
956	1895791
957	1873462
958	239729
959	2268202
960	1952916
961	1952924
962	2053624
963	2268201
964	1801709
965	2026887
966	2026887
967	2306052
968	1797666
969	2026734
970	2026724
971	2026724
972	2026724
973	1802613
974	1797669
975	2250274
976	2250274
977	2709783
978	1412872
979	2052143
980	1855384
981	1978231
982	1978231
983	1978231
984	1978231
985	1978231
986	1948327
987	1948334
988	1911520
989	2900548
990	2900548
991	2900548
992	2900548
993	2900548
994	2900548
995	152507
996	152507
997	152507
998	152507
999	152507
1000	152507
1001	152507
1002	152507
1003	152507
1004	1685
1005	2184347
1006	2026799
1007	2026801
1008	2499141
1009	939316
1010	939306
1011	939346
1012	939324
1013	2024849
1014	1667051
1015	1667051
1016	1130305
1017	2250277
1018	2026782
1019	1118066
1020	1118066
1021	939296
1022	1009708
1023	1009709
1024	2024888
1025	281031
1026	2162577
1027	2162575
1028	281031
1029	281031
1030	2162570
1031	1913988
1032	1538529
1033	281031
